Player,Team,Position,TOI,CF,CA,CF%,CF%_Rel
Andrew MacDonald,PHI,D,14:19,19,11,63.33,17.62
Brandon Manning,PHI,D,14:12,13,22,37.14,-21.32
Claude Giroux,PHI,C,14:43,21,8,72.41,30.16
Dale Weise,PHI,R,8:42,4,13,23.53,-33.10
Ivan Provorov,PHI,D,14:18,19,14,57.58,9.81
Jakub Voracek,PHI,R,10:18,18,11,62.07,15.59
Jordan Weal,PHI,C,9:01,11,16,40.74,-14.05
Jori Lehtera,PHI,C,9:01,5,11,31.25,-23.51
Michael Raffl,PHI,L,9:07,12,18,40.00,-15.71
Nolan Patrick,PHI,C,10:33,15,11,57.69,9.04
Oskar Lindblom,PHI,L,10:10,13,11,54.17,4.17
Radko Gudas,PHI,D,13:16,13,23,36.11,-23.26
Robert Hagg,PHI,D,14:21,17,13,56.67,8.10
Scott Laughton,PHI,C,8:46,10,19,34.48,-23.26
Sean Couturier,PHI,C,14:25,22,7,75.86,35.02
Shayne Gostisbehere,PHI,D,16:10,21,16,56.76,9.14
Travis Konecny,PHI,C,14:43,18,8,69.23,24.64
Valtteri Filppula,PHI,C,9:57,4,13,23.53,-33.10
Ben Harpur,OTT,D,13:55,13,21,38.24,-16.31
Bobby Ryan,OTT,R,11:58,13,14,48.15,-1.17
Cody Ceci,OTT,D,15:43,21,22,48.84,-0.29
Erik Karlsson,OTT,D,18:16,16,19,45.71,-5.05
Fredrik Claesson,OTT,D,10:15,14,12,53.85,6.55
Jean-Gabriel Pageau,OTT,C,10:25,9,18,33.33,-21.46
Magnus Paajarvi,OTT,L,11:24,9,21,30.00,-27.14
Marian Gaborik,OTT,R,8:13,11,6,64.71,18.92
Mark Borowiecki,OTT,D,10:21,13,14,48.15,-1.17
Mark Stone,OTT,R,12:10,15,11,57.69,11.75
Matt Duchene,OTT,C,13:25,17,15,53.13,6.07
Max McCormick,OTT,L,8:55,11,8,57.89,10.98
Mike Hoffman,OTT,L,10:48,22,9,70.97,31.84
Nick Shore,OTT,C,8:00,10,7,58.82,11.84
Ryan Dzingel,OTT,L,12:09,9,13,40.91,-10.37
Thomas Chabot,OTT,D,18:04,20,17,54.05,8.02
Tom Pyatt,OTT,L,10:40,9,17,34.62,-19.44
Zack Smith,OTT,L,11:22,13,11,54.17,6.80
